,robert,pablo,pilar,maria,anselmo,agustín,fernando,primitivo,rafael,andrés,eladio,sordo,joaquín,golz,kashkin,karkov,gomez,miranda,marty,berrendo,moro,palencia
robert,0,20,15,6,9,16,4,6,1,1,2,0,0,1,0,0,0,0,0,0,0,0
pablo,20,0,13,6,3,13,3,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0
pilar,15,13,0,6,4,6,1,8,1,0,1,0,0,0,0,0,0,0,0,0,0,0
maria,6,6,6,0,0,3,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
anselmo,9,3,4,0,0,3,6,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0
agustín,16,13,6,3,3,0,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
fernando,4,3,1,0,6,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
primitivo,6,4,8,1,2,4,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
rafael,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
andrés,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
eladio,2,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sordo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
joaquín,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
golz,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
kashkin,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
karkov,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gomez,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
miranda,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
marty,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
berrendo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
moro,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
palencia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
