,robert,pablo,pilar,maria,anselmo,agustín,fernando,primitivo,rafael,andrés,eladio,sordo,joaquín,golz,kashkin,karkov,gomez,miranda,marty,berrendo,moro,palencia
robert,0,5,6,4,2,3,3,0,0,1,3,2,0,1,0,0,0,0,0,0,0,0
pablo,5,0,5,3,2,3,3,0,0,1,3,2,0,1,0,0,0,0,0,0,0,0
pilar,6,5,0,5,2,3,3,0,0,1,3,2,0,1,0,0,0,0,0,0,0,0
maria,4,3,5,0,1,2,2,0,0,1,2,2,0,1,0,0,0,0,0,0,0,0
anselmo,2,2,2,1,0,2,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
agustín,3,3,3,2,2,0,2,0,0,1,3,1,0,1,0,0,0,0,0,0,0,0
fernando,3,3,3,2,2,2,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0
primitivo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rafael,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
andrés,1,1,1,1,0,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0
eladio,3,3,3,2,2,3,2,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0
sordo,2,2,2,2,0,1,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0
joaquín,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
golz,1,1,1,1,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0
kashkin,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
karkov,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gomez,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
miranda,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
marty,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
berrendo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
moro,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
palencia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
