,robert,pablo,pilar,maria,anselmo,agustín,fernando,primitivo,rafael,andrés,eladio,sordo,joaquín,golz,kashkin,karkov,gomez,miranda,marty,berrendo,moro,palencia
robert,0,16,12,7,9,13,4,9,1,1,2,0,0,2,0,0,0,0,0,0,0,0
pablo,16,0,13,8,4,10,3,7,0,0,1,0,0,0,0,0,0,0,0,0,0,0
pilar,12,13,0,8,5,7,2,9,1,0,2,0,0,0,0,0,0,0,0,0,0,0
maria,7,8,8,0,0,5,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0
anselmo,9,4,5,0,0,4,4,5,1,0,1,0,0,0,0,0,0,0,0,0,0,0
agustín,13,10,7,5,4,0,2,5,0,0,1,0,0,1,0,0,0,0,0,0,0,0
fernando,4,3,2,0,4,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
primitivo,9,7,9,3,5,5,3,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0
rafael,1,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
andrés,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
eladio,2,1,2,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
sordo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
joaquín,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
golz,2,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
kashkin,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
karkov,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gomez,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
miranda,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
marty,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
berrendo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
moro,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
palencia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
